,time,content,search_key
96,2020-07-08T13:50:01.000Z,Have you participated in our European  #SustainableFinance  survey yet? Here is a sneak peek. What do you think—to what extent does the lack of definition over sustainable investments constitute a problem for  #FinancialMarket  players (FMPs)?  ,"""sustainablefinance""AND""definition"""
97,2020-07-07T09:43:50.000Z,"Our project with the , FiBraS, has published a new document: ‘Sustainable Finance: A Summary’ is out now! Go to  to find out more about background, definition & categories of  #sustainablefinance  and effects on financial sector stakeholders","""sustainablefinance""AND""definition"""
98,2020-07-07T09:43:50.000Z," ""Ich habe Canles für meinen täglichen Arbeitsweg gekauft, und meine Füße haben sich noch nie so wohl gefühlt. Jetzt freue ich mich auf meine Spaziergänge!""   Erhalten Sie 30% Rabatt und kostenlosen Versand!","""sustainablefinance""AND""definition"""
99,2020-07-03T12:08:00.000Z,View the new Standard Ethics  #ESG  and  #sustainability  definitions    #rating   #corpgov   #Sri   #sustainablefinance   #investmentgrade   #complyingwiththefuture,"""sustainablefinance""AND""definition"""
100,2020-06-25T19:41:47.000Z,"#CircularEconomy ,  #SustainableFinance . Sound good? Careful.  Contestable definitions, fuzzy indicators, and inadequate information may mean bad decisions. Just published in  :  .           #IndustrialEcology   #ESG","""sustainablefinance""AND""definition"""
101,2020-06-16T12:44:08.000Z,"#Tuesdaydefinition  Do you know what Climate change is?      Here is a little definition by Gianfranco Gianfrate,  #sustainablefinance  lead expert  #EDHECRisk , before reading his latest WP which investigates the relationship between exposure to  #climatechange  & firm  #creditrisk","""sustainablefinance""AND""definition"""
102,2020-05-29T16:00:01.000Z,Check the definitions adopted by Standard Ethics:   #Sustainability    #Responsibility   Sustainability  #rating .   #Esg   #corpgov   #Sri   #sustainablefinance   #investmentgrade  #complyingwiththefuture,"""sustainablefinance""AND""definition"""
103,2020-06-12T10:15:12.000Z,"May 2020 was a long, strange month! ICYMI:   #SustainableFinance  - High-level definitions from the International Capital Markets Association     #responsibleinvestment   #greenbonds   #climaterisk   #GreenRecovery","""sustainablefinance""AND""definition"""
104,2020-05-19T13:50:55.000Z,"Following the release of the   paper on high-level definitions for sustainable finance, you can now listen to our Paris colleague, Nicholas Pfaff, explaining some key points in his presentation. #greenfinance   #sustainablefinance","""sustainablefinance""AND""definition"""
105,2020-05-27T14:54:00.000Z,"Following the release of the   paper on high-level definitions for sustainable finance, you can now listen to our Paris colleague, Nicholas Pfaff, explaining some key points in his presentation. #greenfinance   #sustainablefinance ","""sustainablefinance""AND""definition"""
106,2020-05-18T13:02:03.000Z,Growing attention to  #greenfinance  and  #sustainablefinance  in the wake of the pandemic makes the need for clarity in definitions even more critical. The ICMA's latest attempt to address this here: Thoughts?,"""sustainablefinance""AND""definition"""
107,2020-05-14T14:42:08.000Z,"Sustainability has become a mainstream consideration for the financial sector, but there is a need for convergence on terminology among markets participants.  published the  #SustainableFinance  high-level definitions for stakeholders to refer to","""sustainablefinance""AND""definition"""
108,2020-05-15T13:57:57.000Z,ICMA issues high-level definitions for sustainable finance #ICMA   #sustainablefinance   #ESG ,"""sustainablefinance""AND""definition"""
